rank,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,asset_count,map_count,mod_count
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,10621,10621,51,50,1
2,rslurry,slurry,https://github.com/rslurry,8740,8724,29,29,0
3,stefanorigano,Steno,https://github.com/stefanorigano,6561,6561,1,0,1
4,devenperez,devenperez,https://github.com/devenperez,5216,5216,8,8,0
5,Valdotorium,Valdotorium,https://github.com/Valdotorium,5162,5162,7,4,3
6,kimth9,kimth9,https://github.com/kimth9,4837,4837,20,19,1
7,Maximilian284,max02,https://github.com/Maximilian284,4251,4251,18,18,0
8,crumpetime,muffintime,https://github.com/crumpetime,3753,3741,7,6,1
9,Kronifer,Kronifer,https://github.com/Kronifer,3128,3114,7,7,0
10,nzh0172,naz,https://github.com/nzh0172,2500,2500,7,5,2
11,BarKuperman,BarKuperman,https://github.com/BarKuperman,2090,2090,3,2,1
12,ryandicicco,ryandicicco,https://github.com/ryandicicco,1931,1931,7,7,0
13,DanielD1909,DanielD1909,https://github.com/DanielD1909,1928,1928,2,1,1
14,Bobby-047,Bobby-047,https://github.com/Bobby-047,1643,1643,1,0,1
15,jelegend,jelegend,https://github.com/jelegend,1440,1440,1,1,0
16,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1337,1337,1,0,1
17,soccerjonj,soccerjonj,https://github.com/soccerjonj,1067,1067,7,7,0
18,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1013,1013,10,10,0
19,WillBarouch,WillBarouch,https://github.com/WillBarouch,777,777,1,1,0
20,TransitCore,TransitCore,https://github.com/TransitCore,617,617,2,0,2
21,Mpfk,Mpfk,https://github.com/Mpfk,357,357,1,0,1
22,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,314,314,2,1,1
23,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,225,225,1,1,0
24,metatablestudios,metatablestudios,https://github.com/metatablestudios,132,132,1,1,0
25,TathanDev,TathanDev,https://github.com/TathanDev,104,104,1,0,1
26,Phineapoo,Phineapoo,https://github.com/Phineapoo,83,83,1,1,0
27,bean1322,bean1322,https://github.com/bean1322,62,62,2,2,0
