rank,id,name,author,author_alias,attribution_link,city_code,country,population,population_count,points_count,n_cells,mean_point_density,median_resident_weighted_nn_km,mean_resident_weighted_nn_km,median_worker_weighted_nn_km,mean_worker_weighted_nn_km,detail_radius_km,detail_score,playable_area_cells,median_cell_resident_density,mean_cell_resident_density,pct_cells_with_residents,median_cell_worker_density,mean_cell_worker_density,pct_cells_with_workers,median_commute_distance,mean_commute_distance,detected_center_count,polycentrism_score
1,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,TYO,JP,23649691,229673,39220,10564,3.71,0.214,0.224,0.187,0.201,0.2,0.95,10284,1350,2548.37,87.85,1147,2677.34,83.61,9565,13997.19,4,0.96
2,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,SZX,CN,20432780,202083,9626,4742,2.03,0.693,0.693,0.693,0.693,0.693,0,5316,2786,4893.87,88.04,2352,4805.52,89.67,25593,32169.26,4,0.92
3,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,CAN,CN,15551060,156200,16773,8430,1.99,0.693,0.693,0.693,0.693,0.693,0,9384,916,2175.79,84.78,743,2505.5,73.74,32748,38317.51,2,0.89
4,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,SHA,CN,13605920,150452,23686,7686,3.08,0.543,0.543,0.543,0.543,0.543,0,7252,699,2026.78,87.33,451,2052.91,86.44,27010,34331.55,3,0.93
5,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,SEL4,KR,11769102,129417,4072,1285,2.95,0.397,0.377,0.397,0.37,0.397,0.51,1624,5246,8706.35,99.07,20520,32046.64,100,3585,4908.46,2,0.81
6,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,CDMX,MX,11260947,95340,18798,2925,6.4,0.251,0.253,0.249,0.261,0.25,0.61,3984,3239,5095.91,75.49,2469,3967.79,96.85,10092,12962.58,3,0.88
7,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,SEL3,KR,9102941,100550,2650,757,3.23,0.397,0.378,0.397,0.367,0.397,0.45,848,8192,11250.02,99.74,30037,39439.29,100,3519,4654.11,1,0.7
8,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,CDMC,MX,6794257,77732,8386,892,9.07,0.247,0.249,0.238,0.249,0.242,0.45,936,6949,7673.11,97.09,5345,7428.84,100,8605,10168.43,2,0.8
9,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,ICN4,KR,6718676,88336,2533,866,2.73,0.397,0.393,0.397,0.371,0.397,0.55,1204,3521,7367.3,98.96,13767,22606.35,100,4230,5416.99,2,0.79
10,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,ITM,JP,6524079,62560,14145,2025,6.98,0.212,0.221,0.179,0.21,0.195,0.77,2300,2970,3549.46,90.77,2011,3388.98,95.06,7598,11248.98,3,0.89
11,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,KUL,MY,6249021,41536,2337,1274,1.83,0.506,0.659,0.555,0.708,0.53,0.49,2311,2210,4911.31,99.84,2192,5285.55,98.35,19513,24454.53,1,0.44
12,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,BKK,TH,6033126,40981,13860,2075,6.68,0.051,0.189,0.051,0.183,0.051,1,2506,2091,2959.96,98.17,1962,3069.57,94.7,11675,14313.45,2,0.56
13,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,NGO,JP,5912459,77505,30963,5624,5.5,0.216,0.226,0.19,0.213,0.203,0.82,6776,602,1164.2,90.29,535,1208.28,87,7546,12767.57,3,0.88
14,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,LAX,US,5496727,171223,7090,4329,1.64,0.614,0.648,0.402,0.462,0.497,0.61,6784,971,1311.82,96.79,618,1338.78,94.8,34649,38929.46,3,0.94
15,incheon-3,Incheon (30km×30km),kimth9,kimth9,https://github.com/kimth9,ICN3,KR,4749878,65173,1623,535,2.81,0.397,0.378,0.397,0.37,0.397,0.53,748,4285,7915.02,98.88,14701,22585.01,100,4402,5420.96,1,0.73
