rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
1,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,6561,6561,snapshot_2026_05_21.json
2,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,2232,2232,snapshot_2026_05_21.json
3,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1958,1958,snapshot_2026_05_21.json
4,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,1871,1871,snapshot_2026_05_21.json
5,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,1723,1723,snapshot_2026_05_21.json
6,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1643,1643,snapshot_2026_05_21.json
7,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,1623,1623,snapshot_2026_05_21.json
8,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,1562,1562,snapshot_2026_05_21.json
9,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,1440,1440,snapshot_2026_05_21.json
10,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,1436,1436,snapshot_2026_05_21.json
11,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,1360,1360,snapshot_2026_05_21.json
12,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1337,1337,snapshot_2026_05_21.json
13,map,yukina-osaka,大阪 (Ōsaka),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1267,1267,snapshot_2026_05_21.json
14,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,1089,1089,snapshot_2026_05_21.json
15,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,1075,1075,snapshot_2026_05_21.json
16,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,1074,1074,snapshot_2026_05_21.json
17,map,mfn-hong-kong,Hong Kong,crumpetime,muffintime,https://github.com/crumpetime,1030,1030,snapshot_2026_05_21.json
18,map,los-angeles-county,Los Angeles County,rslurry,slurry,https://github.com/rslurry,1005,1005,snapshot_2026_05_21.json
