rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,mod,mode-manager,Mode Manager,Mpfk,Mpfk,https://github.com/Mpfk,290,290,357,357,67,67,snapshot_2026_05_21.json,snapshot_2026_05_14.json
2,mod,advanced-analytics,Advanced Analytics,stefanorigano,Steno,https://github.com/stefanorigano,261,261,6561,6561,6300,6300,snapshot_2026_05_21.json,snapshot_2026_05_14.json
3,map,greater-los-angeles,Greater Los Angeles,rslurry,slurry,https://github.com/rslurry,173,173,2232,2232,2059,2059,snapshot_2026_05_21.json,snapshot_2026_05_14.json
4,mod,simple-trains,Simple Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,161,161,1643,1643,1482,1482,snapshot_2026_05_21.json,snapshot_2026_05_14.json
5,map,yukina-cz-praha,Praha,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,149,149,625,625,476,476,snapshot_2026_05_21.json,snapshot_2026_05_14.json
6,mod,station-dots,Station Dots,nzh0172,naz,https://github.com/nzh0172,122,122,830,830,708,708,snapshot_2026_05_21.json,snapshot_2026_05_14.json
7,mod,subwaybuilder-regions,Regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,121,121,1958,1958,1837,1837,snapshot_2026_05_21.json,snapshot_2026_05_14.json
8,map,yukina-pl-warszawa,Warszawa,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,120,120,154,154,34,34,snapshot_2026_05_21.json,snapshot_2026_05_14.json
9,mod,distance-circles,Station Catchment Viewer,crumpetime,muffintime,https://github.com/crumpetime,117,117,1871,1871,1754,1754,snapshot_2026_05_21.json,snapshot_2026_05_14.json
10,mod,satellite-overlay,Satellite Overlay,TransitCore,TransitCore,https://github.com/TransitCore,117,117,194,194,77,77,snapshot_2026_05_21.json,snapshot_2026_05_14.json
11,map,seoul-4,Seoul (40km×40km),kimth9,kimth9,https://github.com/kimth9,104,104,1360,1360,1256,1256,snapshot_2026_05_21.json,snapshot_2026_05_14.json
12,map,yukina-pl-krakow,Kraków,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,102,102,211,211,109,109,snapshot_2026_05_21.json,snapshot_2026_05_14.json
13,map,rhode-island,Rhode Island,rslurry,slurry,https://github.com/rslurry,86,86,105,105,19,19,snapshot_2026_05_21.json,snapshot_2026_05_14.json
14,mod,transit-overlay,Transit Overlay,BarKuperman,BarKuperman,https://github.com/BarKuperman,84,84,1623,1623,1539,1539,snapshot_2026_05_21.json,snapshot_2026_05_14.json
15,map,seoul-3,Seoul (30km×30km),kimth9,kimth9,https://github.com/kimth9,84,84,691,691,607,607,snapshot_2026_05_21.json,snapshot_2026_05_14.json
16,map,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,82,82,368,368,286,286,snapshot_2026_05_21.json,snapshot_2026_05_14.json
17,map,jelegend-tokyo,東京 (Tokyo),jelegend,jelegend,https://github.com/jelegend,81,81,1440,1440,1359,1359,snapshot_2026_05_21.json,snapshot_2026_05_14.json
18,map,ciudad-de-mexico,Ciudad de México,rslurry,slurry,https://github.com/rslurry,79,79,1074,1074,995,995,snapshot_2026_05_21.json,snapshot_2026_05_14.json
19,mod,chinese-trains,Chinese Trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,76,76,109,109,33,33,snapshot_2026_05_21.json,snapshot_2026_05_14.json
20,mod,citymapper,Citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,74,74,1337,1337,1263,1263,snapshot_2026_05_21.json,snapshot_2026_05_14.json
21,map,berlin-val,Berlin,Valdotorium,Valdotorium,https://github.com/Valdotorium,73,73,1001,1001,928,928,snapshot_2026_05_21.json,snapshot_2026_05_14.json
22,map,yukina-pl-gdansk,Gdańsk,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,73,73,162,162,89,89,snapshot_2026_05_21.json,snapshot_2026_05_14.json
23,map,shenzhen,Shenzhen,Kronifer,Kronifer,https://github.com/Kronifer,72,72,123,123,51,51,snapshot_2026_05_21.json,snapshot_2026_05_14.json
24,map,toronto,Toronto,devenperez,devenperez,https://github.com/devenperez,68,68,1562,1562,1494,1494,snapshot_2026_05_21.json,snapshot_2026_05_14.json
25,mod,valdotoriums-trains,Valdotoriums S-Bahn and Trams,Valdotorium,Valdotorium,https://github.com/Valdotorium,65,65,1436,1436,1371,1371,snapshot_2026_05_21.json,snapshot_2026_05_14.json
26,mod,any-money,anyMoney,nzh0172,naz,https://github.com/nzh0172,65,65,1089,1089,1024,1024,snapshot_2026_05_21.json,snapshot_2026_05_14.json
27,mod,network-status,Network Status,Valdotorium,Valdotorium,https://github.com/Valdotorium,63,63,929,929,866,866,snapshot_2026_05_21.json,snapshot_2026_05_14.json
28,mod,danield1909-dantrains,"danTrains (v1.* ""Phoenix"")",DanielD1909,DanielD1909,https://github.com/DanielD1909,62,62,1723,1723,1661,1661,snapshot_2026_05_21.json,snapshot_2026_05_14.json
29,map,greater-portland,Greater Portland,rslurry,slurry,https://github.com/rslurry,62,62,62,62,0,0,snapshot_2026_05_21.json,snapshot_2026_05_14.json
30,map,montreal,Montreal,devenperez,devenperez,https://github.com/devenperez,60,60,1075,1075,1015,1015,snapshot_2026_05_21.json,snapshot_2026_05_14.json
31,map,zurich,Zurich,Kronifer,Kronifer,https://github.com/Kronifer,53,53,938,938,885,885,snapshot_2026_05_21.json,snapshot_2026_05_14.json
32,map,barcelona,Barcelona,Maximilian284,max02,https://github.com/Maximilian284,50,50,857,857,807,807,snapshot_2026_05_21.json,snapshot_2026_05_14.json
