rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
1,ahkimn/subwaybuilder-eu-maps,subwaybuilder-eu-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,21,119,119,2204,2204,2085,2085,snapshot_2026_05_21.json,snapshot_2026_05_20.json
2,rslurry/subwaybuilder-maps,subwaybuilder-maps,rslurry,slurry,https://github.com/rslurry,29,76,76,8740,8724,8664,8648,snapshot_2026_05_21.json,snapshot_2026_05_20.json
3,kimth9/sb_korean_map_pack,sb_korean_map_pack,kimth9,kimth9,https://github.com/kimth9,19,50,50,4633,4633,4583,4583,snapshot_2026_05_21.json,snapshot_2026_05_20.json
4,ahkimn/subwaybuilder-jp-maps,subwaybuilder-jp-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,29,35,35,6459,6459,6424,6424,snapshot_2026_05_21.json,snapshot_2026_05_20.json
5,devenperez/subway-builder-canadian-maps,subway-builder-canadian-maps,devenperez,devenperez,https://github.com/devenperez,8,34,34,5216,5216,5182,5182,snapshot_2026_05_21.json,snapshot_2026_05_20.json
6,stefanorigano/advanced_analytics,advanced_analytics,stefanorigano,Steno,https://github.com/stefanorigano,1,30,30,6561,6561,6531,6531,snapshot_2026_05_21.json,snapshot_2026_05_20.json
7,mpfk/subway-builder-mode-manager,subway-builder-mode-manager,Mpfk,Mpfk,https://github.com/Mpfk,1,28,28,357,357,329,329,snapshot_2026_05_21.json,snapshot_2026_05_20.json
8,kronifer/sb-chinese-maps,sb-chinese-maps,Kronifer,Kronifer,https://github.com/Kronifer,3,23,23,865,865,842,842,snapshot_2026_05_21.json,snapshot_2026_05_20.json
9,maximilian284/subwaybuilder-es-maps,subwaybuilder-es-maps,Maximilian284,max02,https://github.com/Maximilian284,4,17,17,2079,2079,2062,2062,snapshot_2026_05_21.json,snapshot_2026_05_20.json
10,crumpetime/subway_builder_distance_circles,subway_builder_distance_circles,crumpetime,muffintime,https://github.com/crumpetime,1,17,17,1871,1871,1854,1854,snapshot_2026_05_21.json,snapshot_2026_05_20.json
11,nzh0172/sb-station-dots,sb-station-dots,nzh0172,naz,https://github.com/nzh0172,1,17,17,830,830,813,813,snapshot_2026_05_21.json,snapshot_2026_05_20.json
12,jelegend/subwaybuilder,subwaybuilder,jelegend,jelegend,https://github.com/jelegend,1,16,16,1440,1440,1424,1424,snapshot_2026_05_21.json,snapshot_2026_05_20.json
13,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,15,15,1643,1643,1628,1628,snapshot_2026_05_21.json,snapshot_2026_05_20.json
14,valdotorium/railyard-maps-2,Railyard-Maps-2,Valdotorium,Valdotorium,https://github.com/Valdotorium,4,14,14,2229,2229,2215,2215,snapshot_2026_05_21.json,snapshot_2026_05_20.json
15,transitcore/satellite-overview,Satellite-Overview,TransitCore,TransitCore,https://github.com/TransitCore,1,14,14,194,194,180,180,snapshot_2026_05_21.json,snapshot_2026_05_20.json
16,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,12,12,1958,1958,1946,1946,snapshot_2026_05_21.json,snapshot_2026_05_20.json
17,gio1112/subway-builder-citymapper,subway-builder-citymapper,Gio1112,giorgiodabest,https://giorgio.is-a.dev/,1,12,12,1337,1337,1325,1325,snapshot_2026_05_21.json,snapshot_2026_05_20.json
18,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,12,12,929,929,917,917,snapshot_2026_05_21.json,snapshot_2026_05_20.json
19,barkuperman/transit-overlay-subway-builder-mod,transit-overlay-subway-builder-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,11,11,1623,1623,1612,1612,snapshot_2026_05_21.json,snapshot_2026_05_20.json
20,pswbsf/charleston-huntington-wv,charleston-huntington-wv,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,11,11,368,368,357,357,snapshot_2026_05_21.json,snapshot_2026_05_20.json
21,ryandicicco/subway-builder-maps,Subway-Builder-Maps,ryandicicco,ryandicicco,https://github.com/ryandicicco,7,10,10,1931,1931,1921,1921,snapshot_2026_05_21.json,snapshot_2026_05_20.json
22,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,10,10,1436,1436,1426,1426,snapshot_2026_05_21.json,snapshot_2026_05_20.json
23,maximilian284/subwaybuilder-it-maps,subwaybuilder-it-maps,Maximilian284,max02,https://github.com/Maximilian284,14,9,9,2172,2172,2163,2163,snapshot_2026_05_21.json,snapshot_2026_05_20.json
24,kronifer/sb-zurich-map,sb-zurich-map,Kronifer,Kronifer,https://github.com/Kronifer,1,9,9,938,938,929,929,snapshot_2026_05_21.json,snapshot_2026_05_20.json
25,kronifer/sb-glasgow-edinburgh-map,sb-glasgow-edinburgh-map,Kronifer,Kronifer,https://github.com/Kronifer,1,9,9,752,752,743,743,snapshot_2026_05_21.json,snapshot_2026_05_20.json
26,pswbsf/dayton-oh,dayton-oh,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,9,9,54,54,45,45,snapshot_2026_05_21.json,snapshot_2026_05_20.json
27,valdotorium/speed-mod,speed-mod,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,8,8,568,568,560,560,snapshot_2026_05_21.json,snapshot_2026_05_20.json
28,kaicardenas0618/chinese-trains,chinese-trains,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,1,8,8,109,109,101,101,snapshot_2026_05_21.json,snapshot_2026_05_20.json
29,nzh0172/sb-anymoney,sb-anymoney,nzh0172,naz,https://github.com/nzh0172,1,5,5,1089,1089,1084,1084,snapshot_2026_05_21.json,snapshot_2026_05_20.json
30,danield1909/dantrains,danTrains,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,4,4,1723,1723,1719,1719,snapshot_2026_05_21.json,snapshot_2026_05_20.json
31,willbarouch/subwaybuilder-sydney,subwaybuilder-sydney,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,4,4,777,777,773,773,snapshot_2026_05_21.json,snapshot_2026_05_20.json
32,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,3,3,1030,1030,1027,1027,snapshot_2026_05_21.json,snapshot_2026_05_20.json
33,kronifer/sb-dublin-map,sb-dublin-map,Kronifer,Kronifer,https://github.com/Kronifer,1,3,3,427,427,424,424,snapshot_2026_05_21.json,snapshot_2026_05_20.json
34,crumpetime/sb-maps-las,sb-maps-las,crumpetime,muffintime,https://github.com/crumpetime,1,3,3,329,329,326,326,snapshot_2026_05_21.json,snapshot_2026_05_20.json
35,tathandev/tathancasino,TathanCasino,TathanDev,TathanDev,https://github.com/TathanDev,1,3,3,104,104,101,101,snapshot_2026_05_21.json,snapshot_2026_05_20.json
36,nzh0172/sb-bangkok,sb-bangkok,nzh0172,naz,https://github.com/nzh0172,1,2,2,238,238,236,236,snapshot_2026_05_21.json,snapshot_2026_05_20.json
37,pswbsf/buffalo-ny,buffalo-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,2,2,103,103,101,101,snapshot_2026_05_21.json,snapshot_2026_05_20.json
38,pswbsf/syracuse-ny,syracuse-ny,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,2,2,33,33,31,31,snapshot_2026_05_21.json,snapshot_2026_05_20.json
39,pswbsf/connecticut-usa,connecticut-usa,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,2,2,2,2,0,0,snapshot_2026_05_21.json,snapshot_2026_05_20.json
40,transitcore/cinematic-camera,cinematic-camera,TransitCore,TransitCore,https://github.com/TransitCore,1,1,1,423,423,422,422,snapshot_2026_05_21.json,snapshot_2026_05_20.json
41,barkuperman/tlv-mod,TLV-mod,BarKuperman,BarKuperman,https://github.com/BarKuperman,1,1,1,274,274,273,273,snapshot_2026_05_21.json,snapshot_2026_05_20.json
42,nzh0172/sb-malaysia-map-pack,sb-malaysia-map-pack,nzh0172,naz,https://github.com/nzh0172,1,1,1,256,256,255,255,snapshot_2026_05_21.json,snapshot_2026_05_20.json
43,lechicken-nyc/greater-new-york,greater-new-york,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,1,1,1,225,225,224,224,snapshot_2026_05_21.json,snapshot_2026_05_20.json
44,soccerjonj/nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,1,1,1,143,143,142,142,snapshot_2026_05_21.json,snapshot_2026_05_20.json
45,pswbsf/anchorage-ak,anchorage-ak,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,122,122,121,121,snapshot_2026_05_21.json,snapshot_2026_05_20.json
46,phineapoo/willamette-valley-or,Willamette-Valley-OR,Phineapoo,Phineapoo,https://github.com/Phineapoo,1,1,1,83,83,82,82,snapshot_2026_05_21.json,snapshot_2026_05_20.json
47,pswbsf/charleston-sc,charleston-sc,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,1,1,1,69,69,68,68,snapshot_2026_05_21.json,snapshot_2026_05_20.json
48,crumpetime/sb-maps-msn,sb-maps-msn,crumpetime,muffintime,https://github.com/crumpetime,1,0,0,250,250,250,250,snapshot_2026_05_21.json,snapshot_2026_05_20.json
